barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
7525337,1985/8112,Environment Protection (Impact of Proposals) Act 1974 - Application to Army Training Facilities Projects in New South Wales,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1985 - 1986,1985,1986,Closed,Withheld pending adv,2015-02-23 00:00:00
7557659,201/1/3 PART 1,Saigon - Vietnam personalities [re Republic of Vietnam also known as South Vietnam],A4531,"Correspondence files, multiple number series (first uniform post system) - Saigon [Main correspondence files series of the agency]",08 May 1956 - 23 Apr 1966,1956,1966,Closed,Withheld pending adv,2014-09-22 00:00:00
7557792,201/2/1NVN PART 1,Saigon - North Vietnam [general political situation],A4531,"Correspondence files, multiple number series (first uniform post system) - Saigon [Main correspondence files series of the agency]",06 Jan 1966 - 20 Nov 1968,1966,1968,Closed,Withheld pending adv,2011-05-02 00:00:00
7569063,201/2/1 PART 1,Saigon - Vietnam - political general - top secret [re Republic of Vietnam also known as South Vietnam],A4531,"Correspondence files, multiple number series (first uniform post system) - Saigon [Main correspondence files series of the agency]",29 Dec 1964 - 27 Sep 1971,1964,1971,Closed,Withheld pending adv,2014-05-20 00:00:00
7569080,252/1/5,Saigon - communist China,A4531,"Correspondence files, multiple number series (first uniform post system) - Saigon [Main correspondence files series of the agency]",28 Mar 1969 - 24 Jun 1969,1969,1969,Closed,Withheld pending adv,2014-09-03 00:00:00
7584181,LC2756 PART 1,"The Iranian Crisis 1979 [Submission Nos. 3948, 3774, 3749 and 3736 refer]",A10756,"Fraser Ministries - Cabinet files, single number series with 'LC' prefix",11 Dec 1979 - 14 Apr 1980,1979,1980,Closed,Withheld pending adv,2012-10-05 00:00:00
7584184,LC2785,Visits Overseas by the Prime Minister and Minister for Foreign Affairs - Re: Soviet Intervention in Afghanistan,A10756,"Fraser Ministries - Cabinet files, single number series with 'LC' prefix",21 Jan 1980 - 12 Feb 1980,1980,1980,Closed,Withheld pending adv,2017-08-01 00:00:00
7584206,LC2958,Office of National Assessments [Submission No 1142 refers],A10756,"Fraser Ministries - Cabinet files, single number series with 'LC' prefix",05 May 1977 - 17 Jun 1980,1977,1980,Closed,Withheld pending adv,2012-10-25 00:00:00
7584224,LC3142,Australian Defector Policy [Submission No. 4736 refers],A10756,"Fraser Ministries - Cabinet files, single number series with 'LC' prefix",Mar 1980 - 27 Apr 1981,1980,1981,Closed,Withheld pending adv,2011-11-16 00:00:00
7584229,LC3216,Support for Afghanistan Patriots,A10756,"Fraser Ministries - Cabinet files, single number series with 'LC' prefix",16 Mar 1981 - 17 Mar 1981,1981,1981,Closed,Withheld pending adv,2017-03-21 00:00:00
7592019,1963/3173 PART 5,Antarctic Treaty - Draft convention on conservation of wildlife,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1970 - 1979,1970,1979,Closed,Withheld pending adv,2012-11-20 00:00:00
7612005,1985/3748,Standing Advisory Committee on Protection Against Violence - Meeting Sydney 1983,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1953 - 1984,1953,1984,Closed,Withheld pending adv,2013-10-17 00:00:00
7620679,1985/8900,Department of Defence - Project Winnin - contract with Amalgamated Wireless (Australasia) Limited - request for advice,A432,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1985 - 1985,1985,1985,Closed,Withheld pending adv,2016-02-08 00:00:00
7637346,1987/549 PART 2,Office of National Assessments - Staffing arrangements,A463,"Correspondence files, annual single number series with occasional 'G' [General Representations] infix [Main correspondence files series of the agency]",18 Sep 1984 - 29 May 1985,1984,1985,Closed,Withheld pending adv,2014-06-20 00:00:00
